Symbol,CompanyName,Year,Revenue,GrossProfit,NetProfit,OperatingProfit,TotalAssets,CurrentAssets,Debt,ShortTermDebt,Equity,EPS,BVPS,PE,ROS,ROEA,ROAA
CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,2023,2170256.0,422485.0,9690,5901,1897139,1013375,1324339,1242547,572800,248,12521,48.47,0.45,1.6,0.6
CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,2024,2025287.0,371797.0,18990,27087,1812815,1085625,1249956,1159310,562859,413,12304,16.45,0.94,3.34,1.02
CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,2025,1768218.0,345894.0,25365,31750,1684779,1092807,1083227,993755,601552,525,13150,0.0,1.43,4.36,1.43
LBC,CTCP Thương mại - Đầu tư Long Biên,2021,145930.0,28872.0,4743,5276,56277,41659,18362,18062,37915,3162,25277,5.85,3.25,13.03,8.79
LBC,CTCP Thương mại - Đầu tư Long Biên,2022,153132.0,31927.0,5490,6780,64951,51999,23196,22876,41755,3660,27837,4.37,3.59,13.78,9.06
LBC,CTCP Thương mại - Đầu tư Long Biên,2023,158885.0,35227.0,6986,8250,71260,58647,24253,23915,47007,4657,31338,3.95,4.4,15.74,10.26
LBC,CTCP Thương mại - Đầu tư Long Biên,2024,169215.0,35893.0,6751,8269,78509,67374,27040,26708,51468,4500,34312,3.31,3.99,13.71,9.01
KTW,CTCP Cấp nước Kon Tum,2021,30647.0,7886.0,3408,4485,97907,23740,10444,5475,87462,409,10499,0.0,11.12,3.93,3.39
KTW,CTCP Cấp nước Kon Tum,2022,93793.0,68603.0,58384,65567,86400,65388,17589,17589,68811,11677,13762,0.0,62.25,74.72,63.35
KTW,CTCP Cấp nước Kon Tum,2023,34466.0,12644.0,8932,10186,110647,43042,23492,9677,87155,1072,10463,0.0,25.92,11.45,9.07
KTW,CTCP Cấp nước Kon Tum,2024,37546.0,17857.0,10508,12336,110960,38897,23062,12819,87898,1261,10552,7.77,27.99,12.01,9.48
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,2021,154082.0,17002.0,13834,13910,313375,127354,180112,161014,133263,876,8434,10.51,8.98,10.95,4.51
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,2022,39310.0,6053.0,-9138,-7900,307803,116678,183678,167428,124125,-578,7856,-3.46,-23.25,-7.1,-2.94
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,2023,9588.0,-1702.0,-16303,-13901,224307,137905,116485,115068,107821,-1032,6824,-1.26,-170.04,-14.06,-6.13
CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,2024,1250.0,-1392.0,-3700,-2160,222626,140069,118505,117087,104121,-234,6590,-5.55,-296.13,-3.49,-1.66
HEM,CTCP Chế tạo Điện Cơ Hà Nội,2021,445744.0,63274.0,619,6075,851971,493735,229470,227984,622501,16,15983,911.96,0.14,0.1,0.07
HEM,CTCP Chế tạo Điện Cơ Hà Nội,2022,521284.0,82752.0,42610,46819,885444,468603,260231,259739,625213,1101,16075,23.53,8.17,6.87,4.91
HEM,CTCP Chế tạo Điện Cơ Hà Nội,2023,405963.0,42332.0,43479,44065,772160,382142,240154,231658,532007,1123,13684,16.2,10.71,7.55,5.25
HEM,CTCP Chế tạo Điện Cơ Hà Nội,2024,181249.0,25565.0,109596,112631,516916,262867,34507,30919,482409,2832,12464,5.9,60.47,21.66,17.0
CAV,CTCP Dây Cáp điện Việt Nam,2021,10479096.0,971915.0,335785,407936,6648569,5156565,4849530,4451760,1799038,5841,31293,10.2,3.2,18.88,5.48
CAV,CTCP Dây Cáp điện Việt Nam,2022,11333927.0,1163615.0,384245,455369,4709948,3307118,2878317,2582575,1831632,6684,31860,7.48,3.39,21.17,6.77
CAV,CTCP Dây Cáp điện Việt Nam,2023,10083885.0,1103766.0,420447,512646,3883214,2515932,2439830,2203622,1443384,7313,25107,9.33,4.17,25.68,9.79
CAV,CTCP Dây Cáp điện Việt Nam,2024,13101730.0,1976885.0,950413,1201948,3816909,2526206,1888566,1718718,1928343,16532,33543,4.23,7.25,56.38,24.69
HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,2021,226083.0,32138.0,8310,4241,485421,108100,96065,90500,389356,334,15650,32.93,3.68,2.15,1.75
HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,2022,279019.0,46398.0,6533,6596,521086,135290,128617,116797,392470,263,15776,36.94,2.34,1.67,1.3
HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,2023,305794.0,83557.0,15610,20012,463606,152798,127537,116444,336070,627,13509,16.89,5.1,4.29,3.17
HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang,2024,321229.0,91532.0,17812,22264,527983,194974,184099,156264,343885,716,13823,11.17,5.55,5.24,3.59
THA,CTCP Tập đoàn Trường Hải,2016,59163238.0,11357823.0,7898983,8493598,53948980,34768114,30673424,27140392,23275556,19057,56153,0.0,13.51,42.19,18.64
THA,CTCP Tập đoàn Trường Hải,2017,49648339.0,9164650.0,4898218,5370326,60537846,38496762,33937003,31919595,26600843,2954,16044,0.0,10.07,20.05,8.56
THA,CTCP Tập đoàn Trường Hải,2018,59082510.0,11732099.0,6073542,6962892,74835848,49668342,43673930,40781960,31161918,3663,18795,0.0,10.61,21.71,8.97
THA,CTCP Tập đoàn Trường Hải,2019,56507706.0,9868905.0,4820192,3386353,106794588,54689802,67496519,53520207,39298070,2844,23185,0.0,9.5,15.24,5.31
BAV,CTCP Hàng không Tre Việt,2021,3557037.0,-4060252.0,-5837819,-2259575,26857491,17927092,10074023,8577619,16783468,-3156,9072,0.0,-64.12,0.0,0.0
BAV,CTCP Hàng không Tre Việt,2022,11732239.0,-3209484.0,-17619325,-17592323,18007647,10442405,18843504,17342466,-835857,-9524,-452,0.0,-150.18,-220.97,-78.54
